nitrogen,phosphorus,potassium,ph,humidity_avg,temp_avg,precip_avg,target_crop,region_city
0.15,39.1,514.0,7.93,9.474999999,24.6325,5.37166666575,barley,Fès-Meknès
0.2102,3.0,196.0,5.1,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.1198,3.0,391.0,5.7,10.435833335,25.3275,7.538333334,barley,Tadla
0.19,0.84,188.0,5.22,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.14,0.92,109.0,5.24,10.435833335,25.3275,7.538333334,barley,Tadla
0.0535,3.0,429.0,8.5,9.474999999,24.6325,5.37166666575,barley,Gharb
0.17,1.45,299.0,5.23,10.435833335,25.3275,7.538333334,barley,Fès-Meknès
0.17,2.75,186.0,6.24,9.474999999,24.6325,5.37166666575,barley,Gharb
0.1606,22.0,425.0,7.2,9.474999999,24.6325,5.37166666575,barley,Fès-Meknès
0.18,2.0,196.0,6.2,10.435833335,25.3275,7.538333334,barley,Gharb
0.1639,1.0,282.0,5.4,10.435833335,25.3275,7.538333334,barley,Tadla
0.18,2.0,285.0,6.2,10.435833335,25.3275,7.538333334,barley,Tadla
0.18,7.0,612.0,5.47,10.435833335,25.3275,7.538333334,barley,Gharb
0.1831,2.0,163.0,4.8,10.435833335,25.3275,7.538333334,barley,Tadla
0.1054,5.0,495.0,7.3,11.71416666575,27.934166665,8.63166666575,barley,Gharb
0.187,2.0,156.0,5.2,10.435833335,25.3275,7.538333334,barley,Gharb
0.1291,1.0,92.0,5.1,10.435833335,25.3275,7.538333334,barley,Tadla
